trade_date,symbol,isin,series,instrument_name,open,high,low,close,last_price,previous_close,volume,turnover
2026-08-07,SUNTV,INE424H01027,EQ,SUN TV NETWORK LIMITED,491.6,491.95,485.1,486.65,486.75,489.2,137019,66833328.95
2026-08-07,SUNCLAY,INE0Q3R01026,EQ,SUNDARAM CLAYTON LIMITED,1270.1,1293.2,1232.2,1241.6,1259.0,1269.4,8764,11066116.6
2026-08-07,SUNDARMFIN,INE660A01013,EQ,SUNDARAM FINANCE LTD,4655.0,4663.0,4585.0,4604.2,4605.0,4647.4,22448,103589533.0
2026-08-07,SUNDARAM,INE108E01023,EQ,SUNDARAM MULTI PAP LTD,1.24,1.25,1.23,1.23,1.25,1.23,227965,282021.04
2026-08-07,SUNDRMBRAK,INE073D01013,BE,SUNDARAMBRAKE LININGS LTD,771.5,789.8,762.0,787.0,786.8,775.5,371,288953.1
2026-08-07,SUNDRMFAST,INE387A01021,EQ,SUNDRAM FASTENERS LTD,1091.0,1109.45,1085.25,1090.55,1089.6,1085.25,393173,431347629.65
2026-08-07,SOCL,INE0CTB01014,SM,SUNDREX OIL COMPANY LTD,27.1,27.5,27.1,27.5,27.5,27.1,4800,131360.0
2026-08-07,SUNDROP,INE209A01019,EQ,SUNDROP BRANDS LIMITED,690.0,718.7,672.2,681.8,675.6,664.8,216488,149987032.5
2026-08-07,SUNFLAG,INE947A01014,EQ,SUNFLAG IRON AND STEEL CO,392.4,392.4,377.05,389.4,391.0,388.95,305259,117557695.65
2026-08-07,SEL,INE0O3O01017,SM,SUNGARNER ENERGIES LTD,235.0,235.0,216.1,221.9,216.1,235.0,5000,1123160.0
2026-08-07,SUNLITE,INE0U2N01013,SM,SUNLITE RECYCLING IND LTD,475.6,485.55,430.0,438.9,434.0,478.0,37500,16865580.0
2026-08-07,SUNREST,INE0PLZ01012,SM,SUNREST LIFESCIENCE LTD,41.8,43.25,40.5,40.5,40.5,39.0,14400,602320.0
2026-08-07,SUNTECK,INE805D01034,EQ,SUNTECK REALTY LIMITED,303.9,303.9,298.25,299.15,298.5,301.65,124383,37311792.55
2026-08-07,SUPERSPIN,INE662A01027,BE,SUPER SPINNING MILLS LTD,6.48,6.48,6.36,6.36,6.36,6.48,1505,9615.72
2026-08-07,SUPERHOUSE,INE712B01010,EQ,SUPERHOUSE LIMITED,160.0,161.0,156.19,159.5,161.0,159.02,1582,252670.86
2026-08-07,SUPRAJIT,INE399C01030,EQ,SUPRAJIT ENGINEERING LTD,540.0,541.0,513.3,521.8,517.0,527.55,504993,268508551.05
2026-08-07,SFML,INE0U6N01014,SM,SUPREME FACILITY MGMT LTD,23.5,23.5,23.3,23.4,23.4,23.5,6400,149760.0
